,name,levelLearned,move,type,category,power,accuracy
45,Venusaur,58,Solar Beam,Grass,Special,120,100
46,Charmander,1,Growl,Normal,Status,—,100
47,Charmander,1,Scratch,Normal,Physical,40,100
48,Charmander,4,Ember,Fire,Special,40,100
49,Charmander,8,Smokescreen,Normal,Status,—,100
50,Charmander,12,Dragon Breath,Dragon,Special,60,100
51,Charmander,17,Fire Fang,Fire,Physical,65,95
52,Charmander,20,Slash,Normal,Physical,70,100
53,Charmander,24,Flamethrower,Fire,Special,90,100
54,Charmander,28,Scary Face,Normal,Status,—,100
55,Charmander,32,Fire Spin,Fire,Special,35,85
56,Charmander,36,Inferno,Fire,Special,100,50
57,Charmander,40,Flare Blitz,Fire,Physical,120,100
58,Charmeleon,1,Ember,Fire,Special,40,100
59,Charmeleon,1,Growl,Normal,Status,—,100
60,Charmeleon,1,Scratch,Normal,Physical,40,100
61,Charmeleon,1,Smokescreen,Normal,Status,—,100
62,Charmeleon,12,Dragon Breath,Dragon,Special,60,100
63,Charmeleon,19,Fire Fang,Fire,Physical,65,95
64,Charmeleon,24,Slash,Normal,Physical,70,100
65,Charmeleon,30,Flamethrower,Fire,Special,90,100
66,Charmeleon,37,Scary Face,Normal,Status,—,100
67,Charmeleon,48,Inferno,Fire,Special,100,50
68,Charmeleon,54,Flare Blitz,Fire,Physical,120,100
69,Charizard,1,Dragon Claw,Dragon,Physical,80,100
70,Charizard,1,Ember,Fire,Special,40,100
71,Charizard,1,Growl,Normal,Status,—,100
72,Charizard,1,Heat Wave,Fire,Special,95,90
73,Charizard,1,Scratch,Normal,Physical,40,100
74,Charizard,1,Smokescreen,Normal,Status,—,100
75,Charizard,12,Dragon Breath,Dragon,Special,60,100
76,Charizard,19,Fire Fang,Fire,Physical,65,95
77,Charizard,24,Slash,Normal,Physical,70,100
78,Charizard,30,Flamethrower,Fire,Special,90,100
79,Charizard,39,Scary Face,Normal,Status,—,100
80,Charizard,46,Fire Spin,Fire,Special,35,85
81,Charizard,54,Inferno,Fire,Special,100,50
82,Charizard,62,Flare Blitz,Fire,Physical,120,100
83,Squirtle,1,Tackle,Normal,Physical,40,100
84,Squirtle,1,Tail Whip,Normal,Status,—,100
85,Squirtle,3,Water Gun,Water,Special,40,100
86,Squirtle,6,Withdraw,Water,Status,—,—
87,Squirtle,9,Rapid Spin,Normal,Physical,50,100
88,Squirtle,12,Bite,Dark,Physical,60,100
89,Squirtle,15,Water Pulse,Water,Special,60,100
90,Squirtle,18,Protect,Normal,Status,—,—
91,Squirtle,21,Rain Dance,Water,Status,—,—
92,Squirtle,24,Aqua Tail,Water,Physical,90,90
93,Squirtle,27,Shell Smash,Normal,Status,—,—
94,Squirtle,30,Iron Defense,Steel,Status,—,—
95,Squirtle,33,Hydro Pump,Water,Special,110,80
96,Squirtle,36,Wave Crash,Water,Physical,120,100
97,Wartortle,1,Tackle,Normal,Physical,40,100
98,Wartortle,1,Tail Whip,Normal,Status,—,100
99,Wartortle,1,Water Gun,Water,Special,40,100
100,Wartortle,1,Withdraw,Water,Status,—,—
101,Wartortle,9,Rapid Spin,Normal,Physical,50,100
102,Wartortle,12,Bite,Dark,Physical,60,100
103,Wartortle,15,Water Pulse,Water,Special,60,100
104,Wartortle,20,Protect,Normal,Status,—,—
105,Wartortle,25,Rain Dance,Water,Status,—,—
106,Wartortle,30,Aqua Tail,Water,Physical,90,90
107,Wartortle,35,Shell Smash,Normal,Status,—,—
108,Wartortle,40,Iron Defense,Steel,Status,—,—
109,Wartortle,45,Hydro Pump,Water,Special,110,80
110,Wartortle,50,Wave Crash,Water,Physical,120,100
111,Blastoise,1,Tackle,Normal,Physical,40,100
112,Blastoise,1,Tail Whip,Normal,Status,—,100
113,Blastoise,1,Water Gun,Water,Special,40,100
114,Blastoise,1,Withdraw,Water,Status,—,—
115,Blastoise,9,Rapid Spin,Normal,Physical,50,100
116,Blastoise,12,Bite,Dark,Physical,60,100
117,Blastoise,15,Water Pulse,Water,Special,60,100
118,Blastoise,20,Protect,Normal,Status,—,—
119,Blastoise,25,Rain Dance,Water,Status,—,—
120,Blastoise,30,Aqua Tail,Water,Physical,90,90
121,Blastoise,35,Shell Smash,Normal,Status,—,—
122,Blastoise,42,Iron Defense,Steel,Status,—,—
123,Blastoise,49,Hydro Pump,Water,Special,110,80
124,Blastoise,56,Wave Crash,Water,Physical,120,100
125,Ekans,1,Leer,Normal,Status,—,100
126,Ekans,1,Wrap,Normal,Physical,15,90
127,Ekans,4,Poison Sting,Poison,Physical,15,100
128,Ekans,9,Bite,Dark,Physical,60,100
129,Ekans,12,Glare,Normal,Status,—,100
130,Ekans,17,Screech,Normal,Status,—,85
131,Ekans,20,Acid,Poison,Special,40,100
132,Ekans,25,Spit Up,Normal,Special,—,100
133,Ekans,25,Stockpile,Normal,Status,—,—
134,Ekans,25,Swallow,Normal,Status,—,—
135,Ekans,28,Acid Spray,Poison,Special,40,100
136,Ekans,33,Sludge Bomb,Poison,Special,90,100
137,Ekans,36,Gastro Acid,Poison,Status,—,100
138,Ekans,38,Belch,Poison,Special,120,90
139,Ekans,41,Haze,Ice,Status,—,—
140,Ekans,44,Coil,Poison,Status,—,—
141,Ekans,49,Gunk Shot,Poison,Physical,120,80
142,Arbok,1,Bite,Dark,Physical,60,100
143,Arbok,1,Fire Fang,Fire,Physical,65,95
144,Arbok,1,Ice Fang,Ice,Physical,65,95
145,Arbok,1,Leer,Normal,Status,—,100
146,Arbok,1,Poison Sting,Poison,Physical,15,100
147,Arbok,1,Thunder Fang,Electric,Physical,65,95
148,Arbok,1,Wrap,Normal,Physical,15,90
149,Arbok,12,Glare,Normal,Status,—,100
150,Arbok,17,Screech,Normal,Status,—,85
151,Arbok,20,Acid,Poison,Special,40,100
152,Arbok,27,Spit Up,Normal,Special,—,100
153,Arbok,27,Stockpile,Normal,Status,—,—
154,Arbok,27,Swallow,Normal,Status,—,—
155,Arbok,32,Acid Spray,Poison,Special,40,100
156,Arbok,39,Sludge Bomb,Poison,Special,90,100
157,Arbok,44,Gastro Acid,Poison,Status,—,100
158,Arbok,48,Belch,Poison,Special,120,90
159,Arbok,51,Haze,Ice,Status,—,—
160,Arbok,56,Coil,Poison,Status,—,—
161,Arbok,63,Gunk Shot,Poison,Physical,120,80
162,Pikachu,1,Charm,Fairy,Status,—,100
163,Pikachu,1,Growl,Normal,Status,—,100
164,Pikachu,1,Nasty Plot,Dark,Status,—,—
165,Pikachu,1,Nuzzle,Electric,Physical,20,100
166,Pikachu,1,Play Nice,Normal,Status,—,—
167,Pikachu,1,Quick Attack,Normal,Physical,40,100
168,Pikachu,1,Sweet Kiss,Fairy,Status,—,75
169,Pikachu,1,Tail Whip,Normal,Status,—,100
170,Pikachu,1,Thunder Shock,Electric,Special,40,100
171,Pikachu,4,Thunder Wave,Electric,Status,—,90
172,Pikachu,8,Double Team,Normal,Status,—,—
173,Pikachu,12,Electro Ball,Electric,Special,—,100
174,Pikachu,16,Feint,Normal,Physical,30,100
175,Pikachu,20,Spark,Electric,Physical,65,100
176,Pikachu,24,Agility,Psychic,Status,—,—
177,Pikachu,28,Iron Tail,Steel,Physical,100,75
178,Pikachu,32,Discharge,Electric,Special,80,100
179,Pikachu,36,Thunderbolt,Electric,Special,90,100
180,Pikachu,40,Light Screen,Psychic,Status,—,—
181,Pikachu,44,Thunder,Electric,Special,110,70
182,Raichu,1,Agility,Psychic,Status,—,—
183,Raichu,1,Charm,Fairy,Status,—,100
184,Raichu,1,Discharge,Electric,Special,80,100
185,Raichu,1,Double Team,Normal,Status,—,—
186,Raichu,1,Electro Ball,Electric,Special,—,100
187,Raichu,1,Feint,Normal,Physical,30,100
188,Raichu,1,Growl,Normal,Status,—,100
189,Raichu,1,Iron Tail,Steel,Physical,100,75
190,Raichu,1,Light Screen,Psychic,Status,—,—
191,Raichu,1,Nasty Plot,Dark,Status,—,—
192,Raichu,1,Nuzzle,Electric,Physical,20,100
193,Raichu,1,Play Nice,Normal,Status,—,—
194,Raichu,1,Quick Attack,Normal,Physical,40,100
195,Raichu,1,Spark,Electric,Physical,65,100
196,Raichu,1,Sweet Kiss,Fairy,Status,—,75
197,Raichu,1,Tail Whip,Normal,Status,—,100
198,Raichu,1,Thunder,Electric,Special,110,70
199,Raichu,1,Thunder Shock,Electric,Special,40,100
200,Raichu,1,Thunder Wave,Electric,Status,—,90
201,Raichu,5,Thunderbolt,Electric,Special,90,100
202,Sandshrew,1,Defense Curl,Normal,Status,—,—
203,Sandshrew,1,Scratch,Normal,Physical,40,100
204,Sandshrew,3,Poison Sting,Poison,Physical,15,100
205,Sandshrew,6,Sand Attack,Ground,Status,—,100
206,Sandshrew,9,Rollout,Rock,Physical,30,90
207,Sandshrew,12,Fury Cutter,Bug,Physical,40,95
208,Sandshrew,15,Rapid Spin,Normal,Physical,50,100
209,Sandshrew,18,Bulldoze,Ground,Physical,60,100
210,Sandshrew,21,Swift,Normal,Special,60,∞
211,Sandshrew,24,Fury Swipes,Normal,Physical,18,80
212,Sandshrew,27,Agility,Psychic,Status,—,—
213,Sandshrew,30,Slash,Normal,Physical,70,100
214,Sandshrew,33,Dig,Ground,Physical,80,100
215,Sandshrew,36,Gyro Ball,Steel,Physical,—,100
216,Sandshrew,39,Swords Dance,Normal,Status,—,—
217,Sandshrew,42,Sandstorm,Rock,Status,—,—
218,Sandshrew,45,Earthquake,Ground,Physical,100,100
219,Sandslash,1,Crush Claw,Normal,Physical,75,95
220,Sandslash,1,Defense Curl,Normal,Status,—,—
221,Sandslash,1,Poison Sting,Poison,Physical,15,100
222,Sandslash,1,Sand Attack,Ground,Status,—,100
223,Sandslash,1,Scratch,Normal,Physical,40,100
224,Sandslash,9,Rollout,Rock,Physical,30,90
225,Sandslash,12,Fury Cutter,Bug,Physical,40,95
226,Sandslash,15,Rapid Spin,Normal,Physical,50,100
227,Sandslash,18,Bulldoze,Ground,Physical,60,100
228,Sandslash,21,Swift,Normal,Special,60,∞
229,Sandslash,26,Fury Swipes,Normal,Physical,18,80
230,Sandslash,31,Sand Tomb,Ground,Physical,35,85
231,Sandslash,36,Slash,Normal,Physical,70,100
232,Sandslash,41,Dig,Ground,Physical,80,100
233,Sandslash,46,Gyro Ball,Steel,Physical,—,100
234,Sandslash,51,Swords Dance,Normal,Status,—,—
235,Sandslash,56,Sandstorm,Rock,Status,—,—
236,Sandslash,61,Earthquake,Ground,Physical,100,100
237,Clefairy,1,Charm,Fairy,Status,—,100
238,Clefairy,1,Copycat,Normal,Status,—,—
239,Clefairy,1,Defense Curl,Normal,Status,—,—
240,Clefairy,1,Disarming Voice,Fairy,Special,40,∞
241,Clefairy,1,Growl,Normal,Status,—,100
242,Clefairy,1,Pound,Normal,Physical,40,100
243,Clefairy,1,Sing,Normal,Status,—,55
244,Clefairy,1,Splash,Normal,Status,—,—
245,Clefairy,1,Sweet Kiss,Fairy,Status,—,75
246,Clefairy,4,Stored Power,Psychic,Special,20,100
247,Clefairy,8,Encore,Normal,Status,—,100
248,Clefairy,12,After You,Normal,Status,—,—
249,Clefairy,16,Life Dew,Water,Status,—,—
250,Clefairy,20,Metronome,Normal,Status,—,—
251,Clefairy,24,Moonlight,Fairy,Status,—,—
252,Clefairy,28,Gravity,Psychic,Status,—,—
253,Clefairy,32,Meteor Mash,Steel,Physical,90,90
254,Clefairy,36,Follow Me,Normal,Status,—,—
255,Clefairy,40,Cosmic Power,Psychic,Status,—,—
256,Clefairy,44,Moonblast,Fairy,Special,95,100
257,Clefairy,48,Healing Wish,Psychic,Status,—,—
258,Clefable,1,Life Dew,Water,Status,—,—
259,Clefable,1,Meteor Mash,Steel,Physical,90,90
260,Clefable,1,Metronome,Normal,Status,—,—
261,Clefable,1,Moonblast,Fairy,Special,95,100
262,Vulpix,1,Ember,Fire,Special,40,100
263,Vulpix,1,Tail Whip,Normal,Status,—,100
264,Vulpix,4,Disable,Normal,Status,—,100
265,Vulpix,8,Quick Attack,Normal,Physical,40,100
266,Vulpix,12,Spite,Ghost,Status,—,100
267,Vulpix,16,Incinerate,Fire,Special,60,100
268,Vulpix,20,Confuse Ray,Ghost,Status,—,100
269,Vulpix,24,Will-O-Wisp,Fire,Status,—,85
270,Vulpix,28,Extrasensory,Psychic,Special,80,100
271,Vulpix,32,Flamethrower,Fire,Special,90,100
272,Vulpix,36,Imprison,Psychic,Status,—,—
273,Vulpix,40,Fire Spin,Fire,Special,35,85
274,Vulpix,44,Safeguard,Normal,Status,—,—
275,Vulpix,48,Inferno,Fire,Special,100,50
276,Vulpix,52,Fire Blast,Fire,Special,110,85
277,Ninetales,1,Flamethrower,Fire,Special,90,100
278,Ninetales,1,Quick Attack,Normal,Physical,40,100
279,Ninetales,1,Tail Whip,Normal,Status,—,100
280,Jigglypuff,1,Charm,Fairy,Status,—,100
281,Jigglypuff,1,Copycat,Normal,Status,—,—
282,Jigglypuff,1,Defense Curl,Normal,Status,—,—
283,Jigglypuff,1,Disable,Normal,Status,—,100
284,Jigglypuff,1,Disarming Voice,Fairy,Special,40,∞
285,Jigglypuff,1,Pound,Normal,Physical,40,100
286,Jigglypuff,1,Sing,Normal,Status,—,55
287,Jigglypuff,1,Sweet Kiss,Fairy,Status,—,75
288,Jigglypuff,4,Echoed Voice,Normal,Special,40,100
289,Jigglypuff,8,Covet,Normal,Physical,60,100
290,Jigglypuff,12,Spit Up,Normal,Special,—,100
291,Jigglypuff,12,Stockpile,Normal,Status,—,—
292,Jigglypuff,12,Swallow,Normal,Status,—,—
293,Jigglypuff,16,Round,Normal,Special,60,100
294,Jigglypuff,20,Rest,Psychic,Status,—,—
295,Jigglypuff,24,Body Slam,Normal,Physical,85,100
296,Jigglypuff,28,Mimic,Normal,Status,—,—
297,Jigglypuff,32,Gyro Ball,Steel,Physical,—,100
298,Jigglypuff,36,Hyper Voice,Normal,Special,90,100
299,Jigglypuff,44,Double-Edge,Normal,Physical,120,100
300,Wigglytuff,1,Body Slam,Normal,Physical,85,100
301,Wigglytuff,1,Charm,Fairy,Status,—,100
302,Wigglytuff,1,Copycat,Normal,Status,—,—
303,Wigglytuff,1,Covet,Normal,Physical,60,100
304,Wigglytuff,1,Defense Curl,Normal,Status,—,—
305,Wigglytuff,1,Disable,Normal,Status,—,100
306,Wigglytuff,1,Disarming Voice,Fairy,Special,40,∞
307,Wigglytuff,1,Double-Edge,Normal,Physical,120,100
308,Wigglytuff,1,Echoed Voice,Normal,Special,40,100
309,Wigglytuff,1,Gyro Ball,Steel,Physical,—,100
310,Wigglytuff,1,Hyper Voice,Normal,Special,90,100
311,Wigglytuff,1,Mimic,Normal,Status,—,—
312,Wigglytuff,1,Pound,Normal,Physical,40,100
313,Wigglytuff,1,Rest,Psychic,Status,—,—
314,Wigglytuff,1,Round,Normal,Special,60,100
315,Wigglytuff,1,Sing,Normal,Status,—,55
316,Wigglytuff,1,Spit Up,Normal,Special,—,100
317,Wigglytuff,1,Stockpile,Normal,Status,—,—
318,Wigglytuff,1,Swallow,Normal,Status,—,—
319,Wigglytuff,1,Sweet Kiss,Fairy,Status,—,75
320,Wigglytuff,5,Play Rough,Fairy,Physical,90,90
321,Oddish,1,Absorb,Grass,Special,20,100
322,Oddish,1,Growth,Normal,Status,—,—
323,Oddish,4,Acid,Poison,Special,40,100
324,Oddish,8,Sweet Scent,Normal,Status,—,100
325,Oddish,12,Mega Drain,Grass,Special,40,100
326,Oddish,14,Poison Powder,Poison,Status,—,75
327,Oddish,16,Stun Spore,Grass,Status,—,75
328,Oddish,18,Sleep Powder,Grass,Status,—,75
329,Oddish,20,Giga Drain,Grass,Special,75,100
330,Oddish,24,Toxic,Poison,Status,—,90
331,Oddish,28,Moonblast,Fairy,Special,95,100
332,Oddish,32,Grassy Terrain,Grass,Status,—,—
333,Oddish,36,Moonlight,Fairy,Status,—,—
334,Oddish,40,Petal Dance,Grass,Special,120,100
335,Gloom,1,Absorb,Grass,Special,20,100
336,Gloom,1,Acid,Poison,Special,40,100
337,Gloom,1,Growth,Normal,Status,—,—
338,Gloom,1,Sweet Scent,Normal,Status,—,100
339,Gloom,12,Mega Drain,Grass,Special,40,100
340,Gloom,14,Poison Powder,Poison,Status,—,75
341,Gloom,16,Stun Spore,Grass,Status,—,75
342,Gloom,18,Sleep Powder,Grass,Status,—,75
343,Gloom,20,Giga Drain,Grass,Special,75,100
344,Gloom,26,Toxic,Poison,Status,—,90
345,Gloom,32,Moonblast,Fairy,Special,95,100
346,Gloom,38,Grassy Terrain,Grass,Status,—,—
347,Gloom,44,Moonlight,Fairy,Status,—,—
348,Gloom,50,Petal Dance,Grass,Special,120,100
349,Vileplume,1,Absorb,Grass,Special,20,100
350,Vileplume,1,Acid,Poison,Special,40,100
351,Vileplume,1,Giga Drain,Grass,Special,75,100
352,Vileplume,1,Grassy Terrain,Grass,Status,—,—
353,Vileplume,1,Growth,Normal,Status,—,—
354,Vileplume,1,Mega Drain,Grass,Special,40,100
355,Vileplume,1,Moonblast,Fairy,Special,95,100
356,Vileplume,1,Moonlight,Fairy,Status,—,—
357,Vileplume,1,Petal Dance,Grass,Special,120,100
358,Vileplume,1,Poison Powder,Poison,Status,—,75
359,Vileplume,1,Sleep Powder,Grass,Status,—,75
360,Vileplume,1,Stun Spore,Grass,Status,—,75
361,Vileplume,1,Sweet Scent,Normal,Status,—,100
362,Vileplume,1,Toxic,Poison,Status,—,90
363,Venonat,1,Disable,Normal,Status,—,100
364,Venonat,1,Tackle,Normal,Physical,40,100
365,Venonat,5,Supersonic,Normal,Status,—,55
366,Venonat,11,Confusion,Psychic,Special,50,100
367,Venonat,13,Poison Powder,Poison,Status,—,75
368,Venonat,17,Psybeam,Psychic,Special,65,100
369,Venonat,23,Stun Spore,Grass,Status,—,75
370,Venonat,25,Bug Buzz,Bug,Special,90,100
371,Venonat,29,Sleep Powder,Grass,Status,—,75
372,Venonat,35,Leech Life,Bug,Physical,80,100
373,Venonat,37,Zen Headbutt,Psychic,Physical,80,90
374,Venonat,41,Poison Fang,Poison,Physical,50,100
375,Venonat,47,Psychic,Psychic,Special,90,100
376,Venomoth,1,Disable,Normal,Status,—,100
377,Venomoth,1,Quiver Dance,Bug,Status,—,—
378,Venomoth,1,Supersonic,Normal,Status,—,55
379,Venomoth,1,Tackle,Normal,Physical,40,100
380,Venomoth,11,Confusion,Psychic,Special,50,100
381,Venomoth,13,Poison Powder,Poison,Status,—,75
382,Venomoth,17,Psybeam,Psychic,Special,65,100
383,Venomoth,23,Stun Spore,Grass,Status,—,75
384,Venomoth,25,Bug Buzz,Bug,Special,90,100
385,Venomoth,29,Sleep Powder,Grass,Status,—,75
386,Venomoth,37,Leech Life,Bug,Physical,80,100
387,Venomoth,41,Zen Headbutt,Psychic,Physical,80,90
388,Venomoth,47,Poison Fang,Poison,Physical,50,100
389,Venomoth,55,Psychic,Psychic,Special,90,100
390,Diglett,1,Sand Attack,Ground,Status,—,100
391,Diglett,1,Scratch,Normal,Physical,40,100
392,Diglett,4,Growl,Normal,Status,—,100
393,Diglett,8,Astonish,Ghost,Physical,30,100
394,Diglett,12,Mud-Slap,Ground,Special,20,100
395,Diglett,16,Bulldoze,Ground,Physical,60,100
396,Diglett,20,Sucker Punch,Dark,Physical,70,100
397,Diglett,24,Slash,Normal,Physical,70,100
398,Diglett,28,Sandstorm,Rock,Status,—,—
399,Diglett,32,Dig,Ground,Physical,80,100
400,Diglett,36,Earth Power,Ground,Special,90,100
401,Diglett,40,Earthquake,Ground,Physical,100,100
402,Diglett,44,Fissure,Ground,Physical,—,30
403,Dugtrio,1,Astonish,Ghost,Physical,30,100
404,Dugtrio,1,Growl,Normal,Status,—,100
405,Dugtrio,1,Night Slash,Dark,Physical,70,100
406,Dugtrio,1,Sand Attack,Ground,Status,—,100
407,Dugtrio,1,Scratch,Normal,Physical,40,100
408,Dugtrio,1,Tri Attack,Normal,Special,80,100
409,Dugtrio,12,Mud-Slap,Ground,Special,20,100
410,Dugtrio,16,Bulldoze,Ground,Physical,60,100
411,Dugtrio,20,Sucker Punch,Dark,Physical,70,100
412,Dugtrio,24,Slash,Normal,Physical,70,100
413,Dugtrio,30,Sandstorm,Rock,Status,—,—
414,Dugtrio,36,Dig,Ground,Physical,80,100
415,Dugtrio,42,Earth Power,Ground,Special,90,100
416,Dugtrio,48,Earthquake,Ground,Physical,100,100
417,Dugtrio,54,Fissure,Ground,Physical,—,30
418,Meowth,1,Fake Out,Normal,Physical,40,100
419,Meowth,1,Growl,Normal,Status,—,100
420,Meowth,4,Feint,Normal,Physical,30,100
421,Meowth,8,Scratch,Normal,Physical,40,100
422,Meowth,12,Pay Day,Normal,Physical,40,100
423,Meowth,16,Bite,Dark,Physical,60,100
424,Meowth,20,Taunt,Dark,Status,—,100
425,Meowth,24,Assurance,Dark,Physical,60,100
426,Meowth,29,Fury Swipes,Normal,Physical,18,80
427,Meowth,32,Screech,Normal,Status,—,85
428,Meowth,36,Slash,Normal,Physical,70,100
429,Meowth,40,Nasty Plot,Dark,Status,—,—
430,Meowth,44,Play Rough,Fairy,Physical,90,90
431,Persian,1,Fake Out,Normal,Physical,40,100
432,Persian,1,Feint,Normal,Physical,30,100
433,Persian,1,Growl,Normal,Status,—,100
434,Persian,1,Scratch,Normal,Physical,40,100
435,Persian,1,Switcheroo,Dark,Status,—,100
436,Persian,12,Pay Day,Normal,Physical,40,100
437,Persian,16,Bite,Dark,Physical,60,100
438,Persian,20,Taunt,Dark,Status,—,100
439,Persian,24,Assurance,Dark,Physical,60,100
440,Persian,31,Fury Swipes,Normal,Physical,18,80
441,Persian,36,Screech,Normal,Status,—,85
442,Persian,42,Slash,Normal,Physical,70,100
443,Persian,48,Nasty Plot,Dark,Status,—,—
444,Persian,54,Play Rough,Fairy,Physical,90,90
445,Psyduck,1,Scratch,Normal,Physical,40,100
446,Psyduck,1,Tail Whip,Normal,Status,—,100
447,Psyduck,3,Water Gun,Water,Special,40,100
448,Psyduck,6,Confusion,Psychic,Special,50,100
449,Psyduck,9,Fury Swipes,Normal,Physical,18,80
450,Psyduck,12,Water Pulse,Water,Special,60,100
451,Psyduck,15,Disable,Normal,Status,—,100
452,Psyduck,18,Zen Headbutt,Psychic,Physical,80,90
453,Psyduck,21,Screech,Normal,Status,—,85
454,Psyduck,24,Aqua Tail,Water,Physical,90,90
455,Psyduck,27,Soak,Water,Status,—,100
456,Psyduck,30,Psych Up,Normal,Status,—,—
457,Psyduck,34,Amnesia,Psychic,Status,—,—
458,Psyduck,39,Wonder Room,Psychic,Status,—,—
459,Golduck,1,Aqua Jet,Water,Physical,40,100
460,Golduck,1,Confusion,Psychic,Special,50,100
461,Golduck,1,Scratch,Normal,Physical,40,100
462,Golduck,1,Tail Whip,Normal,Status,—,100
463,Golduck,1,Water Gun,Water,Special,40,100
464,Golduck,9,Fury Swipes,Normal,Physical,18,80
465,Golduck,12,Water Pulse,Water,Special,60,100
466,Golduck,15,Disable,Normal,Status,—,100
467,Golduck,18,Zen Headbutt,Psychic,Physical,80,90
468,Golduck,21,Screech,Normal,Status,—,85
469,Golduck,24,Aqua Tail,Water,Physical,90,90
470,Golduck,27,Soak,Water,Status,—,100
471,Golduck,30,Psych Up,Normal,Status,—,—
472,Golduck,36,Amnesia,Psychic,Status,—,—
473,Golduck,40,Hydro Pump,Water,Special,110,80
474,Golduck,45,Wonder Room,Psychic,Status,—,—
475,Mankey,1,Covet,Normal,Physical,60,100
476,Mankey,1,Focus Energy,Normal,Status,—,—
477,Mankey,1,Leer,Normal,Status,—,100
478,Mankey,1,Scratch,Normal,Physical,40,100
479,Mankey,5,Fury Swipes,Normal,Physical,18,80
480,Mankey,8,Low Kick,Fighting,Physical,—,100
481,Mankey,12,Seismic Toss,Fighting,Physical,—,100
482,Mankey,17,Swagger,Normal,Status,—,85
483,Mankey,22,Cross Chop,Fighting,Physical,100,80
484,Mankey,26,Assurance,Dark,Physical,60,100
485,Mankey,29,Thrash,Normal,Physical,120,100
486,Mankey,33,Close Combat,Fighting,Physical,120,100
487,Mankey,36,Screech,Normal,Status,—,85
488,Mankey,40,Stomping Tantrum,Ground,Physical,75,100
489,Mankey,44,Outrage,Dragon,Physical,120,100
490,Mankey,48,Final Gambit,Fighting,Special,—,100
491,Primeape,1,Fling,Dark,Physical,—,100
492,Primeape,1,Focus Energy,Normal,Status,—,—
493,Primeape,1,Leer,Normal,Status,—,100
494,Primeape,1,Scratch,Normal,Physical,40,100
495,Primeape,5,Fury Swipes,Normal,Physical,18,80
496,Primeape,8,Low Kick,Fighting,Physical,—,100
497,Primeape,15,Seismic Toss,Fighting,Physical,—,100
498,Primeape,17,Swagger,Normal,Status,—,85
499,Primeape,22,Cross Chop,Fighting,Physical,100,80
500,Primeape,26,Assurance,Dark,Physical,60,100
501,Primeape,30,Thrash,Normal,Physical,120,100
502,Primeape,35,Rage Fist,Ghost,Physical,50,100
503,Primeape,39,Close Combat,Fighting,Physical,120,100
504,Primeape,44,Screech,Normal,Status,—,85
505,Primeape,48,Stomping Tantrum,Ground,Physical,75,100
506,Primeape,53,Outrage,Dragon,Physical,120,100
507,Primeape,57,Final Gambit,Fighting,Special,—,100
